Pais,URBANO,SEXO
Afghanistan,26,48.66
Albania,62.1,49.09
Algeria,73.7,49.48
Angola,66.8,50.53
Antigua and Barbuda,24.4,51.76
Argentina,92.1,51.23
Armenia,63.3,52.96
Aruba,43.7,52.55
Australia,86.2,50.2
Austria,58.7,50.76
Azerbaijan,56.4,50.08
Bahrain,89.5,35.73
Bangladesh,38.2,49.42
Barbados,31.2,51.64
Belarus,79.5,53.45
Belgium,98.1,50.5
Belize,46,50.23
Benin,48.4,50.08
Bhutan,42.3,46.92
Bolivia,70.1,49.8
Bosnia and Herzegovina,49,51.02
Botswana,70.9,51.64
Brazil,87.1,50.85
Bulgaria,75.7,51.43
Burkina Faso,30.6,50.06
Burundi,13.7,50.4
Cambodia,24.2,51.19
Cameroon,57.6,49.99
Canada,81.6,50.38
Central African Republic,42.2,50.43
Chad,23.5,50.08
Chile,87.7,50.71
China,61.4,48.69
Colombia,81.4,50.91
Comoros,29.4,49.56
Costa Rica,80.8,50.02
Croatia,57.6,51.82
Cuba,77.2,50.34
Curacao,89.1,54.06
Cyprus,66.8,50
Czech Republic,74.1,50.79
Denmark,88.1,50.28
Djibouti,78.1,47.41
Dominican Republic,82.5,50.03
Ecuador,64.2,49.98
El Salvador,73.4,53.15
Equatorial Guinea,73.1,44.41
Eritrea,41.3,49.88
Estonia,69.2,52.73
Eswatini,24.2,50.98
Ethiopia,21.7,49.97
Fiji,57.2,49.33
Finland,85.5,50.7
France,81,51.6
French Polynesia,62,49.34
Gabon,90.1,49.08
Georgia,59.5,52.32
Germany,77.5,50.61
Ghana,57.3,49.32
Greece,79.7,50.92
Guam,94.9,49.53
Guatemala,51.8,50.74
Guinea,36.5,51.72
Guinea-Bissau,44.2,51.12
Guyana,26.8,49.76
Haiti,57.1,50.66
Honduras,58.4,50.04
Hungary,71.9,52.42
Iceland,93.9,49.79
India,34.9,48.03
Indonesia,56.6,49.65
Iraq,70.9,49.4
Ireland,63.7,50.39
Israel,92.6,50.26
Italy,71,51.34
Jamaica,56.3,50.35
Japan,91.8,51.17
Jordan,91.4,49.38
Kazakhstan,57.7,51.49
Kenya,28,50.31
Kiribati,55.6,50.83
Kuwait,100,39.08
Latvia,68.3,53.96
Lebanon,88.9,49.69
Lesotho,29,50.69
Liberia,52.1,49.75
Libya,80.7,49.5
Lithuania,68,53.74
Luxembourg,91.5,49.47
Madagascar,38.5,50.12
Malawi,17.4,50.69
Malaysia,77.2,48.6
Maldives,40.7,36.7
Mali,43.9,49.92
Malta,94.7,49.87
Mauritania,55.3,49.8
Mauritius,40.8,50.62
Mexico,80.7,51.09
Moldova,42.8,52.07
Mongolia,68.7,50.7
Montenegro,67.5,50.56
Morocco,63.5,50.39
Mozambique,37.1,51.44
Myanmar,31.1,51.81
Namibia,52,51.54
Nepal,20.6,54.4
Netherlands,92.2,50.2
New Zealand,86.7,50.84
Nicaragua,59,50.71
Niger,16.6,49.75
Nigeria,52,49.33
North Macedonia,58.5,49.97
Norway,83,49.49
Oman,86.3,33.98
Pakistan,37.2,48.54
Panama,68.4,49.92
Papua New Guinea,13.3,48.95
Paraguay,62.2,49.17
Peru,78.3,50.33
Philippines,47.4,49.76
Poland,60,51.54
Portugal,66.3,52.7
Puerto Rico,93.6,52.55
Qatar,99.2,24.67
Romania,56.4,51.36
Rwanda,17.4,50.85
Saudi Arabia,84.3,42.27
Senegal,48.1,51.24
Serbia,56.4,51.01
Seychelles,57.5,48.67
Sierra Leone,42.9,50.11
Singapore,100,47.66
Slovenia,55.1,50.22
Solomon Islands,24.7,49.15
Somalia,46.1,50.14
South Africa,67.4,50.72
South Sudan,20.2,49.95
Spain,80.8,50.87
Sri Lanka,18.7,52.01
Sudan,35.3,50.04
Suriname,66.1,49.73
Sweden,88,49.93
Switzerland,73.9,50.41
Tajikistan,27.5,49.6
Tanzania,35.2,50.04
Thailand,51.4,51.3
Togo,42.8,50.25
Tonga,23.1,49.96
Trinidad and Tobago,53.2,50.61
Tunisia,69.6,50.42
Turkey,76.1,50.65
Turkmenistan,52.5,50.76
Uganda,25,50.74
Ukraine,69.6,53.68
United Arab Emirates,87,30.74
United Kingdom,83.9,50.61
United States,82.7,50.52
Uruguay,95.5,51.7
Uzbekistan,50.4,50.12
Vanuatu,25.5,49.3
Vietnam,37.3,50.08
World,56.2,49.58
Zambia,44.6,50.49
Zimbabwe,32.2,52.32
